微博id,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
Li3Pmw3vi,进入三月，在英国攻读研究生的同学们来到了毕业论文的准备阶段。今晚一起来#聊一聊#，大家觉得写论文的整个过程中，最难的是哪个部分呢？我们也会根据投票结果，为大家不断放送留英学习干货哦！ 写论文过程中，你认为最难的是哪个部分？  ,无,无,2022-03-03 21:23,微博 weibo.com,8,0,1
LhZ9Rqzdv,#留英干货#【到英国学习物理与天文，离你梦想中的宇宙更近一步】从历史上的宇宙大发现，到近代取得突破的暗物质研究，英国在全球物理与天文研究领域有着重要地位。在这里，你将师从最懂宇宙的研究者们，在前沿设备的支持下尽情探索。今天就和物理与天文教育尤为出色的@杜伦大学 一起，看看“理科生们的终极浪漫”！ 和杜伦大学一起仰望星空！这可能是你距离宇宙最近的一次                                 ,无,无,2022-03-03 09:30,微博 weibo.com,2,2,0
LhTXf4ieb,#长大了才开始怀念校园时光#据说英国留学生最怀念的6件事，你中了哪件呢？1.始终灯火通明的图书馆2.常常美好的夕阳3.日常中遇到的小善意4.一些嘴上说着不爱，实际却会想念的餐厅5.和朋友说走就走的旅行6.大片大片的草地  [组图共6张] 原图 ,"http://ww4.sinaimg.cn/large/631046e6gy1gzvstwjo5pj21910u0dlm.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gzvsu1wktvj21970u079f.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzvsumvpwwj21900u0afb.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzvsufpih9j21900u0gq1.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzvsui6pddj21160u0n9j.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gzvsub84xkj218z0u0n3l.jpg",无,2022-03-02 20:15,微博 weibo.com,8,4,2
LhKhWpfrt,"#学英语#这两年，有一个俚语非常受欢迎，尤其是在海外短视频里——叫做“(the) CEO of something”。例如造个句子：I’m the CEO of table tennis.大家觉得这是什么意思呢？ ""I’m the CEO of table tennis""的含义是？  ",无,无,2022-03-01 19:38,微博 weibo.com,58,0,2
LhBZTcfbZ,#学霸留英笔记#刚到英国，怎么发现我听见的英语和我学的不一样？别担心，你只是还在适应英国人讲英语的方式。下面几个小方法，能帮你循序渐进，逐步提升在英国的日常听力。快转发码下来1、多多尝试新的场所来到一个新的环境，最不要做的就是逃避，而是试着接受这种陌生感。如果你觉得还需要一些时间适应，不妨多多光临市场、咖啡店、邮局、餐厅，以及食堂、学生活动中心等等，在与人短暂交谈的同时，还可以多留意其他人聊天中的关键词。2、在1的基础上，回味英式英语里的重音和语调当你逐渐熟悉常见的生活场景后，不妨开始留意英国人对重音、语调的不同使用。例如“address”这个单词在英音与美音中的重音就不同，很大程度上会影响你听到时的第一反应。同时，注意聆听英国人句子语调的变化，也能帮你尽快找到回答问题或者和他们的互动节奏。3、在向电影、音乐求助前，先拿出一些时间看看优质的练习在你还很难适应电影、音乐的节奏前，不妨找一些在线的听力练习帮你找找重音和音调上的感觉。例如大家可以在我们的官网上找到分为入门、进阶等不同阶段的免费听力课程。简单的练习包括听语音留言、预定位置等，进阶的练习则包括与客户对话、面试、聊电视剧等。官网🔗已经放在评论区，大家快去取用吧！4、最后，选择合适的电视节目巩固听力当带有目的地选择电视节目、电影时，建议大家选择肥皂剧、情景剧和儿童节目这几类，而不是快节奏的悬疑片、侦探故事等等。尤其是从一些适合家庭一起看的影视作品开始，参考他们的语言风格和用法也是很高效的办法。语言是一个长期甚至终身学习的科目，大家一起慢慢提升吧！[虎爪比心]                  原图                             ,http://wx4.sinaimg.cn/large/631046e6gy1gztlitj0o3j21900u0jvb.jpg,无,2022-02-28 22:32,微博 weibo.com,10,7,4
LhBnXFzCG,#2022留英择校干货#【留英择校：这一个选择比你想象中更重要】英国有160多所大学和学院，从中选择一所适合自己学业的“梦校”的同时，也选择了一种生活方式、文化环境和职业发展的起点。 点击视频，看看@英国伯恩茅斯大学 、@英国赫尔大学官方微博 、@英国萨塞克斯大学 给你的择校Tips。  英国教育官方微博的微博视频                                 ,无,无,2022-02-28 20:58,微博视频号,9,15,5
Lhe1mjDyg,#2022留英择校干货#【留英选专业：职业规划、实践机会是必需考量的因素】英国为来自全世界的学子提供超过5万个本科课程、2.1万个研究生课程。 面对海量课程，应该如何选择？点击视频，看看@英国基尔大学微博 、@英国斯特灵大学 、知山大学有哪些实用建议！ 英国教育官方微博的微博视频  ,无,无,2022-02-26 09:30,微博视频号,1,5,1
Lh92Mp1nS,#留英干货#2月下旬、3月初左右，是英国大学春季学期的“阅读周”（Reading Week）。在位于期中的阅读周，课程将会暂停，学生可以自由安排学习计划。不过，期中过后就是更紧张的学习和考试，阅读周其实非常有用的。今天带你看看英国本科生们正在怎样过阅读周1、放松休息，恢复精力学到期中，阅读周是最好的调整睡眠、饮食的时间。而春季学期的阅读周，也意味着大家有更多的时间到处走走、到户外运动，享受初春的时光！2、赶上“阅读”进度顾名思义，阅读周最大的目的之一就是让学生完成在前半学期滞后的学习进度。相信对许多国际生来讲，大量的英文阅读需求是大家初到英国时最不适应的部分。但是没有关系，利用阅读周的时间，学生可以查漏补缺，尽量将前半学期滞后的进度补齐，至少将最紧要的部分先处理好。3、设定后半学期计划为了应对后半学期的课业和考试，阅读周的最大功能之一就是让新课暂时停下，给学生一些时间调整自己的节奏。同时，你也可以在阅读周的计划梳理期间，找到自己的问题，提前预约阅读周以后和导师、助教的单独会面答疑。4、探索你的城市和大学阅读周只有一周的时间，相信在完成以上必做的项目后，许多学生都不会再选择旅行这种消耗更多精力的安排。所以，趁此时间进行大学和城市内部的游玩是最适宜的。尤其是结合自己的爱好，在英国的城市里四处探索，也是留英学习最让人心动的部分之一！             [组图共4张]      原图                             ,"http://ww2.sinaimg.cn/large/631046e6gy1gzq1pgqc6kj21900u0gp8.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gzq1phwpp2j21900u0dlk.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzq1pjvt2lj21900u0af0.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzq1pgj80hj21600u0tas.jpg",无,2022-02-25 20:49,微博 weibo.com,2,3,1
LgZYGEoJh,你是不是已经无法忍受四人间寝室了？快来看看英国德比大学五星级体验的学生宿舍吧！在2019年，德比大学就获得了全国学生宿舍调查奖的三项大奖，以及六个类别的入围名单。斩获“最好的客户服务”、“最好的学生健康”、“最好的环境管理”三项大奖！ 英国教育官方微博的微博视频  ,无,无,2022-02-24 21:45,微博视频号,8,2,0
LgZwgDhHS,中国留学生有哪些奖学金可以申请？新鲜出炉的《英国奖学金手册》可以下载啦，马上找找最适合你的那个项目！访问右侧官网即可下载：网页链接  原图 ,http://wx4.sinaimg.cn/large/631046e6gy1gzouz15mmvj20d70irq4v.jpg,无,2022-02-24 20:35,微博 weibo.com,21,8,2
LgZlLoBNw,今年在英国的小伙伴们，一定度过了一个暖冬。在英国的路边和公园里，当你看到番红花（Crocus）、黄水仙（Daffodil）、雪钟花（Snowdrop）这几种“春天之花”，那么就意味着春天已经正在降临了！和我们分享你拍到的初春吧  [组图共6张] 原图 ,"http://ww3.sinaimg.cn/large/631046e6gy1gzouy17ormj21900u0dka.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzouy0nwkrj21900u0ae6.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gzouy0ri86j21510u0gr3.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzouy0uxd6j21400u0jyo.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzouy7r145j20u0190jus.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gzouy0zn2uj213y0u0dka.jpg",无,2022-02-24 20:09,微博 weibo.com,5,2,0
LgWxBbqW9,#英国高校线上讲座系列#【数据科学老师的9分钟公开课：你产生的数据可能比你更了解你自己】如果你对计算机科学相关领域感兴趣，那么你一定不想错过下面这集Exe Talks。来自@埃克塞特大学官博 计算机科学系的数据科学讲师Federico Botta将为你讲解在数字世界产生的数据如何定义你，以及在埃克塞特大学，他们如何通过学习数据科学了解数据、利用数据让现实世界变得更好。戳视频一起听课吧 英国教育官方微博的微博视频                                 ,无,无,2022-02-24 13:00,微博视频号,2,4,0
LgQkUxVQL,#留英树洞#2022年的春招正在火热进行中，采访一下各位毕业生们：在求职过程中，作为一名留英学子，你认为自己最大的优势是什么？放在评论区让大家一起参考吧~  原图 ,http://wx2.sinaimg.cn/large/631046e6gy1gznr60agxzj21900u0q5u.jpg,无,2022-02-23 21:12,微博 weibo.com,1,0,0
LgHPRCZYC,#英国择校指南#【一张图读懂一所高校】有英国最美的花园式校园之称的埃克塞特大学是“魔法女士”J·K·罗琳的母校，它位列世界前150，已有16个学科跻身世界百强（QS 2021） 在@埃克塞特大学官博 的三大校区，你可以尽情享受英国的人文美景，获得充实纯粹的留英体验。一张图了解必知重点！  原图 ,http://wx1.sinaimg.cn/large/631046e6gy1gzmpm91yivj20tn6bfqv5.jpg,无,2022-02-22 23:33,微博 weibo.com,3,5,2
LgH5BwYdl,#学英语#英语中有一个俚语叫做“Talk the talk”，考考大家知道这是什么意思吗？ “Talk the talk”是什么意思呢？  ,无,无,2022-02-22 21:39,微博 weibo.com,58,0,4
LgGhD1qmu,#英国大学在线分享系列活动#进入主题二——英国六大学科学习和职业发展详解，2月24日（本周四）起陆续开讲！来和高校在线面对面，锁定你最关心的那个学科主题二包含6场免费在线分享，涵盖商科、计算机科学与游戏设计、创意艺术等学科，将由英国知名高校、在读学生主讲。在线报名通道：网页链接             [组图共8张]      原图                             ,"http://ww3.sinaimg.cn/large/631046e6gy1gzmirqayd9j20u055ub29.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzmirpygpvj20u03xp4md.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gzmirq1znzj20u03w94mx.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzmirq7kzmj20u04k44qd.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzmirpl5kmj20u03ovwzh.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gzmirpzbikj20u03pdnj2.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzmirq2ipyj20u03vcaws.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzmirqcbk5j20u03lz4k6.jpg",无,2022-02-22 19:36,微博 weibo.com,5,5,3
Lgw0bz8K4,【埃克塞特大学不可错过的新专业】想在世界排名Top150的全英最美花园式校园学习吗？埃克塞特大学近两年在商学院，理工科，社科人文各个领域开设了多个新专业。 跟随这篇文章一起从专业介绍，专业亮点，入学要求，就业前景全面了解学校新开设的4个宝藏专业:虎年上新！埃克塞特大学的新专业了解一下？  [组图共2张] 原图 ,"http://ww3.sinaimg.cn/large/631046e6gy1gzl9dxbpdnj218y0u079m.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzl9e73lzxj20op0gj78q.jpg",无,2022-02-21 17:26,微博 weibo.com,4,2,0
Lga1SDhcX,#英国大学在线分享系列活动#开放报名啦！免费的在线分享，快来和英国知名院校、演讲嘉宾面对面交流！2月21日（周一），主题一“留学英国的前期准备：拟定行动计划”准时开讲三场首发讲座，带你纵览英国高等教育体系，点击大图查看详情。在线报名锁定席位：网页链接  [组图共5张] 原图 ,"http://ww4.sinaimg.cn/large/631046e6gy1gzhz25zjvej20u04gf7wh.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gzhz25r7ykj20ty3eswzv.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gzhz25kjfgj20ty3rgnkf.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gzhz25e8urj20u03q8nl8.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gzhz2602a8j20u03lz4kh.jpg",无,2022-02-19 09:30,微博 weibo.com,2,3,1
Lg4RBCEBy,#学霸留英笔记#英式课堂的研讨会（Seminar）怎么上，学习效果才最好？初到英国的小伙伴可能对这种教学形式还有疑惑，以下这几个点就帮你讲清楚如何通过Seminar达到最佳学习效果1.【理解Seminar的目的】Seminar的课堂规模会比一堂正课小很多，一般不超过20人，由授课老师或助教主导。Seminar有几个主要目的，分别是复习正课重点、延展关于重点的辩证讨论，还有解答一些关于课业的要求和问题。2.【保证出勤】向大家强调要保证Seminar的出勤，是为了避免有的学生认为“缺席不扣分就不用出勤”。Seminar虽然是小课教学，但其实是英国课堂的主要组成部分。尤其是对于国际生来说，保证出勤时长是留英学习的义务之一，长期无故旷课还可能会被学校处以严重警告。3.【跟随节奏，保持互动】相较于正课，Seminar更注重互动度，要求学生们在老师的带领下进行小组讨论、课堂辩论，以发展批判性思维，多方面看待一个理论、一个现象或一个事件。了解到这里，你就会发现这里其实隐藏着英国教育的核心之一了。4.【不要浪费一对一的解答良机】为了保证每个学生都收获足够、同等的关注，在Seminar的课后你仍然有申请一对一讲解的权利。大家可以通过学校系统进行预约，请助教帮自己看论文写作思路、理解课业要求等等。对国际生来说，这也是帮你度过适应期的好机会！如果你想了解更多关于英国课堂的内容，就一键三连告诉我们吧！[虎爪比心]                  原图                             ,http://wx1.sinaimg.cn/large/631046e6gy1gzhvljx1aij218y0u042j.jpg,无,2022-02-18 20:21,微博 weibo.com,4,4,0
LfVqIvH1S,#2022非凡英国奖学金计划#免费的奖学金申请讲座，正在火热进行中！来与英国院校线上面对面、获得更多相关信息。让我们助力你的奖学金申请和每一个留英梦想点击文章查看场次详细信息，通过链接即可报名：网页链接 英国院校与你线上面对面，快来参与免费的奖学金申请讲座  ,无,无,2022-02-17 20:20,微博 weibo.com,3,0,0
LfM4iCftE,冬奥会再次点燃了全球对冰雪运动的狂热，体育产业的发展已经势不可挡！即使你不是运动员，也有上百种路径带你进入近年来发展最快速的体育行业。究其关键，在英国学体育，有哪些关键优势呢？1. 行业洞察一场冬奥赛事如何运作，英超如何从130多年前发展至今？英国是世界领先的体育大国之一，没有比这里更懂全球体育行业的地方了。无论是英国最引以为傲的足球赛事，还是发展成熟的冰雪运动，英国大学能提供给学生的只有最新、最犀利的行业分析。2. 体育科学知识英国大学的体育课程在全球享有盛誉，在这里取得的学位和学习成果将在世界范围内获得认可，例如生物机械学、运动控制、体育心理学等等。无论你想在关于体育科学的哪个领域发展研究或求职，在英国的学习将是大家个人专业性的最好保障。3. 最大化发展你的专长许多英国大学提供体育科学与其他学科的联合学位，例如和舞蹈等形体相关学科，生物学等自然科学专业，甚至历史学这样的人文学科结合。这样的学位能帮助学生发展他们想要的职业生涯，最大化、长远地发展兴趣和专长。欢迎大家到大学官网查找自己感兴趣的学科信息                  原图                             ,http://wx3.sinaimg.cn/large/631046e6gy1gzfm3vmjv8j20m80cijsl.jpg,无,2022-02-16 20:30,微博 weibo.com,0,2,0
LfHWDAMe8,#2022留英择校干货#【留英选校要深思：学习体验、职业机会、未来可能性，为什么很重要】许多留学生的学习之旅结束后，会发现学习体验、英国教育为未来带来的无限可能也是非常宝贵的收获。和@英国伯恩茅斯大学 、@英国赫尔大学官方微博 、@英国萨塞克斯大学 一起，看看让你的留学事半功倍的三个方面！  留英选校要深思：学习体验、职业机会、未来可能性，为什么很重要？                                 ,无,无,2022-02-16 10:00,微博 weibo.com,8,7,3
LfBPNwtB7,#英国大学在线分享系列活动#报名已开启！雅思、申请、六大学科学习计划……这10场免费讲座，为你解析英国高等教育的方方面面此次在线分享云集19所英国知名院校、超过50名演讲嘉宾，是大家与英国院校、英国高等教育专家以及在校学生直接交流的好机会。快戳图片了解详细场次！快速报名表：网页链接             [组图共5张]      原图                             ,"http://ww3.sinaimg.cn/large/631046e6gy1gzedeuc04dj20u048rnoy.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gzedeu2nsrj20u03p2qtc.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gzfmco5ii1j20u063zhdt.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gzedetuptlj20u027s4cj.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gzedeuaag1j20u02lo4fm.jpg",无,2022-02-15 18:26,微博 weibo.com,6,3,2
Lftjn407M,#留英树洞#在英国留学和生活，日常里让你觉得非常有爱的小事有哪些呀？  原图 ,http://wx1.sinaimg.cn/large/631046e6gy1gzdaix7cysj21bj0u0gpd.jpg,无,2022-02-14 20:45,微博 weibo.com,1,0,0
LfoNj6eDm,#英国择校指南#在英国学设计，你的“工作室”有多高级？点击视频，跟随在@伦敦布鲁内尔大学 的学生们，走进他们的设计课室 伦敦布鲁内尔大学设计学院的课程涵盖传统工业和产品设计、数字产品设计、视觉设计等领域，“Made in Brunel”特色品牌更是享誉英国。看到配备齐全的设计工作坊，满满都是动手制作的氛围！ 英国教育官方微博的微博视频                                 ,无,无,2022-02-14 09:15,微博视频号,4,1,2
Lf0fe84bk,#留英干货#【留英选专业要领：以这三所大学为例，详解怎样选以及为什么】在申请筹备阶段，如何选专业已是老生常谈的话题。除了要心选所好，还有三个重要的必看指标可以作为学习质量的保障，大家千万别忽略！今天就以@英国基尔大学微博 、@英国斯特灵大学 、英国知山大学为例，了解这些指标怎么看～ 留英选专业要领：以这三所大学为例，详解怎样选以及为什么                                 ,无,无,2022-02-11 18:45,微博 weibo.com,2,4,1
LeRcNhP1t,#学霸留英笔记#春季学期的论文作业时间到来，今年的flag立起来！决心不再拖到最后一天爆肝的小伙伴在哪里🙋♂️码住这些论文时间管理小技巧，有计划地拿高分吧！1.【制定一张计划表】把从构思、阅读到大纲、撰写的时间节点一一列出，确保每次和导师见面或者邮件沟通时能有新的进展和实质的讨论。2.【用单独的文档进行文献整理】开启单独的文档，专门保存你想要参考的文献、书籍，有助于效率提升。另外，还可以在阅读过程中顺手把作者、页码及时记下来，并且养成引用后随时做好引用格式的好习惯，可以为你在后期节约非常多的时间。3.【给自己设定灵活的写作时间】在有计划的情况下，其实论文撰写并不需要一周七天、一天几小时。当你完成以上计划后，预估出完成初稿和修改的时间，就可以灵活安排写论文的天数了。不过需要注意的是，既然定好了计划，就要确保强有力地执行哦！4.【和导师、助教保持随时沟通】一些学生可能在完成初次沟通后就“溜之大吉”了，但在写的过程中，才发现构想与完成之间有不少变数。如果你在写作过程中如果想修改论文方向、研究方法，一定要和导师或助教及时沟通，才能尽快调整。即使是学霸也需要和导师反复地进行沟通，英国大学的导师和助教也会热情地帮助你，所以大家千万不要因为害羞、怕麻烦就放弃将学业完成得更好的机会！5.【大胆开写】在完成一定的阅读和研究的情况下，就可以开始着手写论文了。在写的过程中，建议大家不要过度纠结排版、用词，不要在某个句子和段落上钻牛角尖，而是专注于撰写本身，再安排专门的复读和检查的时间。如果遇到瓶颈，那么回到上一点、多阅读多沟通一定是最高效的解决办法之一。如果这些内容对你有帮助，那就一键三连告诉我们吧                  原图                             ,http://wx4.sinaimg.cn/large/631046e6gy1gz8njpcetuj21900u0q7k.jpg,无,2022-02-10 19:44,微博 weibo.com,5,10,1
LeR4vrcUm,在英国留学这么欢度中国年，你羡慕了吗？春节期间，英国德比大学为学生准备了精彩的“欢庆中国年”活动，听说还吸引了不少国际学生参与其中，剪纸、麻将、汉服、茶艺、中国舞……样样齐全，不仅给德比的中国同学们带来了家一样的感觉，还带领国际友人们领略了一番博大精深的中国文化！给德比大学一个大大的赞！👍@英国德比大学-Derby             [组图共9张]      原图                             ,"http://ww4.sinaimg.cn/large/631046e6gy1gz8mz7p9euj20fe0ki774.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gz8mz7naquj20fe0bkabq.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gz8mz7ptf2j20fe0bkwgc.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gz8mz7rlxmj20fe0kiq56.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz8mz7svxij20fe0bkjt6.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gz8mz7yiv5j20fe0i4gn3.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz8mz828ujj20fe0bkmz1.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz8mz8496ej20fe0bk0tw.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz8mz88ipzj20fe0bk400.jpg",无,2022-02-10 19:24,微博 weibo.com,0,2,0
LeIf7vzVp,#留英树洞#春节一过，今年的留英申请也将接近尾声。悄悄采访一下大家：在需要定下来要到哪所学校就读时，让你做出最终决定的那个关键因素是什么呢？  原图 ,http://wx1.sinaimg.cn/large/631046e6gy1gz7jztonm2j21930u0ac0.jpg,无,2022-02-09 20:55,微博 weibo.com,2,0,0
LeyDX3isZ,#最爱的冬季运动#所有炫目又刺激的冰上运动中，花样滑冰（figure skating）有着独特魅力，它也是在1908年伦敦夏季奥运会上第一个被作为正式比赛项目的冬季运动。作为一项竞技运动的花样滑冰源于18世纪的英国，但在全世界，有冰雪的地方都是花滑的舞台，第一双冰鞋出现的时间甚至到现在都没有定论一组赛场老照片，感受一下上世纪的冰上起舞吧             [组图共9张]      原图                             ,"http://ww4.sinaimg.cn/large/631046e6gy1gz6dm3pmxaj21b50u0tip.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gz6dm3yhiyj21900u0dps.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gz6dm3nfo8j219p0u0aih.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gz6dm33nehj20u01a344x.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gz6dm3o6p2j20u0196thk.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz6dm0zzs9j20i30n50vf.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gz6dm361m0j219i0u0tfs.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gz6dm31etrj20u019i451.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz6dlzt3g3j20sg0kljth.jpg",无,2022-02-08 20:29,微博 weibo.com,3,2,0
Leq7Qafuw,大家最近有没有看到很多萌娃参与冰雪运动的视频呢~ 没有什么是比一个活力满满、热爱运动的小朋友更可爱的了！今天就来推荐一些#给孩子的运动绘本#，让他们在冬天里撒欢儿吧  [组图共6张] 原图 ,"http://ww2.sinaimg.cn/large/631046e6gy1gz5c05f8fpj20mr0sgtcd.jpg,http://ww3.sinaimg.cn/large/631046e6gy1gz5c055r0vj20bd0dw3zl.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz5c052u3hj20a30dw0tf.jpg,http://ww4.sinaimg.cn/large/631046e6gy1gz5c052d9yj20cl0dwdgg.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gz5c05dx69j20u00wy0wx.jpg,http://ww1.sinaimg.cn/large/631046e6gy1gz5c05bvikj208w0b4q3t.jpg",无,2022-02-07 22:48,微博 weibo.com,5,1,1
LdW2YyKxe,#立春#初四好！都说“每逢佳节倍思亲”，春节应该是海外学子一年中最思乡的时候了问问大家，如果是在英国过年，你最大的年味儿来自于哪里呢？ 在英国，你的“年味儿”来自哪里？  ,无,无,2022-02-04 18:13,微博 weibo.com,5,0,0
LdN9Jr8SW,#2022非凡英国奖学金计划#【教育相关专业奖学金申请干货】从职场、家庭，再次回归校园，有怎样的感受？我们邀请了2021非凡英国奖学金获得者、东英吉利大学教育和国际发展专业的金璐，为大家分享她的心得和申请经验。【转发+关注】，我们将抽取1名幸运儿赠送【小米无线蓝牙耳机一副】。戳链接了解更多：网页链接 英国教育官方微博的微博视频                                 ,无,无,2022-02-03 19:35,微博视频号,36,29,20
LdDCyzVq8,#大年初二#英国人的这个“过年”传统大家知道吗？在苏格兰，有一个新年习俗叫做“first footing”，指在新年的零点敲响之后第一个登门拜访的人。根据传统，如果来一个高个、黑发的男性拜访者，那么这一年都会交好运[虎爪比心]不仅如此，来访者还要带上煤块、威士忌、撒上盐的黑面包等，以代表新一年拥有温暖、欢乐、丰盛的食物和友谊。今天的苏格兰也依然保留着这一传统。这么一说，那些受欢迎的来访者在零点敲响前就要赶快出发啦             [组图共2张]      原图                             ,"http://ww1.sinaimg.cn/large/631046e6gy1gyzdvco52hj211i0u0n0f.jpg,http://ww2.sinaimg.cn/large/631046e6gy1gyzdvdassvj20u00vl79w.jpg",无,2022-02-02 19:19,微博 weibo.com,2,1,1
LdkrCyKP8,新春快乐[福气虎]英国教育在此祝大家虎年顺遂、健康平安！  原图 ,http://wx3.sinaimg.cn/large/631046e6gy1gytwlz7bxzj20zk0k075f.jpg,无,2022-01-31 18:30,微博 weibo.com,2,1,0
LcT5jxY0p,[福气虎]下周一就是新年除夕夜啦，虎年年夜饭计划起来！每当中国新年，英国大学的社团、学联也会举办形形色色的活动来庆祝。我们也很好奇今年要在海外过年的大家，都会怎么过年呢  原图 ,http://wx3.sinaimg.cn/large/631046e6gy1gytofbzsvbj21900u043p.jpg,无,2022-01-28 20:50,微博 weibo.com,2,0,0
LcQZvB4hJ,你知道英国德比大学的校长被授予了大英帝国勋章中最高荣誉吗？你知道这所大学位于英格兰的正中心吗？不仅如此，这所大学所在的城市——德比市，还是英国工业革命的发源地！这就是国际学生满意度世界前十的宝藏英国大学——德比大学！连宿舍都斩获英国“最佳环境管理“大奖。学费仅需大约13万左右人民币，还设有丰富的国际学生奖学金。快来看看这所英国大学长什么样吧！@英国德比大学-Derby  英国教育官方微博的微博视频                                 ,无,无,2022-01-28 15:31,微博视频号,4,2,2
LcJ2BqC2K,#2022非凡英国奖学金计划#【工程管理奖学金申请攻略】工程管理是英国优势学科，我们邀请了2021非凡英国奖学金获得者——埃克塞特大学工程商务管理专业的闫汉哲同学，为大家分享他的申请干货！【转发+关注】，我们将抽取1名幸运儿赠送【小米无线蓝牙耳机一副】。戳链接了解更多：网页链接 英国教育官方微博的微博视频                                 ,无,无,2022-01-27 19:16,微博视频号,41,27,11
LcyVZjSHI,由英国文化教育协会携手英国高校发起的“2022非凡英国奖学金计划”正在向中国申请者们开放！我们专访了此次奖学金计划的参与院校之一@英国安格利亚鲁斯金大学 计算机游戏学科负责人Baris Isikguner博士，一起看看他对大家的申请有哪些建议吧戳文章了解详情👇 非凡英国奖学金｜安格利亚鲁斯金大学电脑游戏专业奖学金申请攻略  ,无,无,2022-01-26 17:32,微博 weibo.com,1,5,1
Lcwaqyzbk,#英国入境#英国政府新增认可来自中国和其它15个国家和地区的疫苗接种证书，自2月11号英国时间早上4点之后入境英国的中国学生，如在出发前14天已经完成两针国药或科兴灭活疫苗接种，并能出示疫苗接种证明将获得与在英国本土疫苗接种者相同的豁免，在抵达英国时不必隔离。网页链接  原图 ,http://wx2.sinaimg.cn/large/631046e6gy1gyqv9frbktj208c05fq3f.jpg,无,2022-01-26 10:30,微博 weibo.com,4,4,0
LcrtBjeTz,#今天小年#祝大家小年快乐迎来小年，除夕的脚步也越来越近了。考考大家，下面哪个选项【不是】“小年”的英文表达方式呢？ 哪个选项【不是】“小年”的英文表达方式？  ,无,无,2022-01-25 22:33,微博 weibo.com,26,0,1
LcgQv70WH,#2022非凡英国奖学金计划#【商科类专业奖学金申请攻略】秘籍公开！2021非凡英国奖学金获得者——邓迪大学国际商务和创业硕士专业的刘竞泽同学，为大家分享他的奖学金申请干货！【转发+关注】，我们将抽取1名幸运儿赠送【小米旅行登机箱】。现在就开始你的申请吧：网页链接 英国教育官方微博的微博视频                                 ,无,无,2022-01-24 19:30,微博视频号,47,26,23
